variant,kind,seed,fold,target,R2,RMSE,delta
w/o SAM,component,2024,2,glass_adhesion_kpa,0.7840805649757385,33.81607031173381,0.0
w/o SAM,component,7,0,glass_adhesion_kpa,0.7684476375579834,33.616979613870356,0.0
w/o SAM,component,7,1,glass_adhesion_kpa,0.7599330544471741,34.83568958058226,0.0
w/o SAM,component,7,2,glass_adhesion_kpa,0.7658550143241882,38.69497889392838,0.0
w/o EMA,component,42,0,glass_adhesion_kpa,0.77019864320755,35.92946921139387,0.0
w/o EMA,component,42,1,glass_adhesion_kpa,0.765012264251709,35.33718716699166,0.0
w/o EMA,component,42,2,glass_adhesion_kpa,0.752642810344696,36.64419458891562,0.0
w/o EMA,component,2024,0,glass_adhesion_kpa,0.6964505910873413,41.29032711521247,0.0
w/o EMA,component,2024,1,glass_adhesion_kpa,0.8535226583480835,28.244935248421086,0.0
w/o EMA,component,2024,2,glass_adhesion_kpa,0.7840805649757385,33.81607031173381,0.0
w/o EMA,component,7,0,glass_adhesion_kpa,0.7684476375579834,33.616979613870356,0.0
w/o EMA,component,7,1,glass_adhesion_kpa,0.7599330544471741,34.83568958058226,0.0
w/o EMA,component,7,2,glass_adhesion_kpa,0.7658550143241882,38.69497889392838,0.0
w/o R-Drop,component,42,0,glass_adhesion_kpa,0.7945833206176758,33.96974900784888,-0.008144941594865562
w/o R-Drop,component,42,1,glass_adhesion_kpa,0.7388001084327698,37.255967039900135,-0.008144941594865562
w/o R-Drop,component,42,2,glass_adhesion_kpa,0.8252484798431396,30.800187504185242,-0.008144941594865562
w/o R-Drop,component,2024,0,glass_adhesion_kpa,0.6327753067016602,45.41502678853251,-0.008144941594865562
w/o R-Drop,component,2024,1,glass_adhesion_kpa,0.8514715433120728,28.442004708457834,-0.008144941594865562
w/o R-Drop,component,2024,2,glass_adhesion_kpa,0.8019896745681763,32.38330537170156,-0.008144941594865562
w/o R-Drop,component,7,0,glass_adhesion_kpa,0.7636198401451111,33.965621621699164,-0.008144941594865562
w/o R-Drop,component,7,1,glass_adhesion_kpa,0.7493739128112793,35.593556230267126,-0.008144941594865562
w/o R-Drop,component,7,2,glass_adhesion_kpa,0.8315855264663696,32.81722436227278,-0.008144941594865562
w/o feature noise,component,42,0,glass_adhesion_kpa,0.7583086490631104,36.84725021806665,0.006396538681454067
w/o feature noise,component,42,1,glass_adhesion_kpa,0.7545057535171509,36.118523357028145,0.006396538681454067
w/o feature noise,component,42,2,glass_adhesion_kpa,0.7799349427223206,34.56355777936044,0.006396538681454067
w/o feature noise,component,2024,0,glass_adhesion_kpa,0.6870412826538086,41.92539528175316,0.006396538681454067
w/o feature noise,component,2024,1,glass_adhesion_kpa,0.8324047327041626,30.212464808174065,0.006396538681454067
w/o feature noise,component,2024,2,glass_adhesion_kpa,0.784527599811554,33.78104583367998,0.006396538681454067
w/o feature noise,component,7,0,glass_adhesion_kpa,0.7458977103233337,35.21586438655436,0.006396538681454067
w/o feature noise,component,7,1,glass_adhesion_kpa,0.7651257514953613,34.456876921559505,0.006396538681454067
w/o feature noise,component,7,2,glass_adhesion_kpa,0.750827968120575,39.91735847739051,0.006396538681454067
w/o MFM pre-training,component,42,0,glass_adhesion_kpa,0.77019864320755,35.92946921139387,0.0
w/o MFM pre-training,component,42,1,glass_adhesion_kpa,0.765012264251709,35.33718716699166,0.0
w/o MFM pre-training,component,42,2,glass_adhesion_kpa,0.752642810344696,36.64419458891562,0.0
w/o MFM pre-training,component,2024,0,glass_adhesion_kpa,0.6964505910873413,41.29032711521247,0.0
w/o MFM pre-training,component,2024,1,glass_adhesion_kpa,0.8535226583480835,28.244935248421086,0.0
w/o MFM pre-training,component,2024,2,glass_adhesion_kpa,0.7840805649757385,33.81607031173381,0.0
w/o MFM pre-training,component,7,0,glass_adhesion_kpa,0.7684476375579834,33.616979613870356,0.0
w/o MFM pre-training,component,7,1,glass_adhesion_kpa,0.7599330544471741,34.83568958058226,0.0
w/o MFM pre-training,component,7,2,glass_adhesion_kpa,0.7658550143241882,38.69497889392838,0.0
w/o MC-Dropout,component,42,0,glass_adhesion_kpa,0.77019864320755,35.92946921139387,0.0
w/o MC-Dropout,component,42,1,glass_adhesion_kpa,0.765012264251709,35.33718716699166,0.0
w/o MC-Dropout,component,42,2,glass_adhesion_kpa,0.752642810344696,36.64419458891562,0.0
w/o MC-Dropout,component,2024,0,glass_adhesion_kpa,0.6964505910873413,41.29032711521247,0.0
w/o MC-Dropout,component,2024,1,glass_adhesion_kpa,0.8535226583480835,28.244935248421086,0.0
w/o MC-Dropout,component,2024,2,glass_adhesion_kpa,0.7840805649757385,33.81607031173381,0.0
w/o MC-Dropout,component,7,0,glass_adhesion_kpa,0.7684476375579834,33.616979613870356,0.0
w/o MC-Dropout,component,7,1,glass_adhesion_kpa,0.7599330544471741,34.83568958058226,0.0
w/o MC-Dropout,component,7,2,glass_adhesion_kpa,0.7658550143241882,38.69497889392838,0.0
w/o pretrained transfer,component,42,0,glass_adhesion_kpa,0.77019864320755,35.92946921139387,0.0
w/o pretrained transfer,component,42,1,glass_adhesion_kpa,0.765012264251709,35.33718716699166,0.0
w/o pretrained transfer,component,42,2,glass_adhesion_kpa,0.752642810344696,36.64419458891562,0.0
w/o pretrained transfer,component,2024,0,glass_adhesion_kpa,0.6964505910873413,41.29032711521247,0.0
w/o pretrained transfer,component,2024,1,glass_adhesion_kpa,0.8535226583480835,28.244935248421086,0.0
w/o pretrained transfer,component,2024,2,glass_adhesion_kpa,0.7840805649757385,33.81607031173381,0.0
w/o pretrained transfer,component,7,0,glass_adhesion_kpa,0.7684476375579834,33.616979613870356,0.0
w/o pretrained transfer,component,7,1,glass_adhesion_kpa,0.7599330544471741,34.83568958058226,0.0
w/o pretrained transfer,component,7,2,glass_adhesion_kpa,0.7658550143241882,38.69497889392838,0.0
fusion = concat,fusion,42,0,glass_adhesion_kpa,0.7845926284790039,34.78602105360984,0.040337125460306766
fusion = concat,fusion,42,1,glass_adhesion_kpa,0.6873918771743774,40.75768446285237,0.040337125460306766
fusion = concat,fusion,42,2,glass_adhesion_kpa,0.6956451535224915,40.64742169713843,0.040337125460306766
fusion = concat,fusion,2024,0,glass_adhesion_kpa,0.7253592014312744,39.274993908139244,0.040337125460306766
fusion = concat,fusion,2024,1,glass_adhesion_kpa,0.8110290169715881,32.08136704269513,0.040337125460306766
fusion = concat,fusion,2024,2,glass_adhesion_kpa,0.7302061319351196,37.80013033728356,0.040337125460306766
fusion = concat,fusion,7,0,glass_adhesion_kpa,0.7685849666595459,33.607006831955815,0.040337125460306766
fusion = concat,fusion,7,1,glass_adhesion_kpa,0.6314175128936768,43.16438843202736,0.040337125460306766
fusion = concat,fusion,7,2,glass_adhesion_kpa,0.7188826203346252,42.39903995218745,0.040337125460306766
fusion = film,fusion,42,0,glass_adhesion_kpa,0.7535641193389893,37.20715571665533,0.005278680059644936
fusion = film,fusion,42,1,glass_adhesion_kpa,0.7475557327270508,36.62622151599947,0.005278680059644936
fusion = film,fusion,42,2,glass_adhesion_kpa,0.7264039516448975,38.53876396727067,0.005278680059644936
fusion = film,fusion,2024,0,glass_adhesion_kpa,0.7541957497596741,37.15594446363024,0.005278680059644936
fusion = film,fusion,2024,1,glass_adhesion_kpa,0.8239433765411377,30.965745273948983,0.005278680059644936
fusion = film,fusion,2024,2,glass_adhesion_kpa,0.7630298137664795,35.426163516861905,0.005278680059644936
fusion = film,fusion,7,0,glass_adhesion_kpa,0.7537677884101868,34.66621848574722,0.005278680059644936
fusion = film,fusion,7,1,glass_adhesion_kpa,0.7743344902992249,33.7746473947638,0.005278680059644936
fusion = film,fusion,7,2,glass_adhesion_kpa,0.7718400955200195,38.19722442929018,0.005278680059644936
fusion = cross,fusion,42,0,glass_adhesion_kpa,0.7616496086120605,36.5916884026448,0.01050114631652832
fusion = cross,fusion,42,1,glass_adhesion_kpa,0.7655971646308899,35.29317951825554,0.01050114631652832
fusion = cross,fusion,42,2,glass_adhesion_kpa,0.7523417472839355,36.66648707490346,0.01050114631652832
fusion = cross,fusion,2024,0,glass_adhesion_kpa,0.7143158316612244,40.0568428508749,0.01050114631652832
fusion = cross,fusion,2024,1,glass_adhesion_kpa,0.8345873355865479,30.01509528261103,0.01050114631652832
fusion = cross,fusion,2024,2,glass_adhesion_kpa,0.7650166749954224,35.277338343275524,0.01050114631652832
fusion = cross,fusion,7,0,glass_adhesion_kpa,0.7101396322250366,37.612177593437906,0.01050114631652832
fusion = cross,fusion,7,1,glass_adhesion_kpa,0.7697665095329285,34.11477138943078,0.01050114631652832
fusion = cross,fusion,7,2,glass_adhesion_kpa,0.7482184171676636,40.125844215710124,0.01050114631652832
