variant,kind,seed,fold,target,R2,RMSE,MAE,NRMSE,PearsonR,SpearmanRho,CCC
w/o residual blocks,component,2024,2,glass_adhesion_kpa,0.558449387550354,22.974631209210273,16.913022994995117,0.6644927263259888,0.7651658058166504,0.7897025522094728,0.7760638381111998
w/o contrastive pre-training,component,42,0,glass_adhesion_kpa,0.7343771457672119,19.90041199837526,14.962554931640625,0.5153861045837402,0.8624064922332764,0.832948956947186,0.8466552062228347
w/o contrastive pre-training,component,42,1,glass_adhesion_kpa,0.6785147190093994,19.662969899125265,13.190646171569824,0.566996693611145,0.8294407725334167,0.837628687669235,0.8298796979739106
w/o contrastive pre-training,component,42,2,glass_adhesion_kpa,0.6987225413322449,19.098670537725756,14.49683952331543,0.5488874912261963,0.846057653427124,0.8439128079837482,0.8600852146415399
w/o contrastive pre-training,component,2024,0,glass_adhesion_kpa,0.769514799118042,17.853529192814285,13.496323585510254,0.4800886809825897,0.8801077008247375,0.8707974437343707,0.8763860652940417
w/o contrastive pre-training,component,2024,1,glass_adhesion_kpa,0.7128201723098755,19.494810538690885,13.301648139953613,0.535891592502594,0.8731409907341003,0.8494421985009604,0.8377454998171081
w/o contrastive pre-training,component,2024,2,glass_adhesion_kpa,0.6849379539489746,19.40690967955864,14.685949325561523,0.5613039135932922,0.8298509120941162,0.8329373845953122,0.8230601898661802
w/o Mixup,component,42,0,glass_adhesion_kpa,0.5890884399414062,24.751615221126226,18.37265968322754,0.6410238146781921,0.7752272486686707,0.7660396235139263,0.757783750088088
w/o Mixup,component,42,1,glass_adhesion_kpa,0.6626622676849365,20.14192653620412,14.631113052368164,0.5808077454566956,0.8318982720375061,0.8449921510041943,0.839608310594031
w/o Mixup,component,42,2,glass_adhesion_kpa,0.48445820808410645,24.9834124658242,16.30824851989746,0.7180123925209045,0.7756739854812622,0.7711415830361177,0.7772386293391539
w/o Mixup,component,2024,0,glass_adhesion_kpa,0.77241051197052,17.741023843114387,12.945089340209961,0.47706338763237,0.8856050372123718,0.883523200889136,0.9001624012356879
w/o Mixup,component,2024,1,glass_adhesion_kpa,0.7373030185699463,18.645309128309844,13.375994682312012,0.5125396847724915,0.8650761842727661,0.8274357799600961,0.8657781562924681
w/o Mixup,component,2024,2,glass_adhesion_kpa,0.6300773024559021,21.028767092013652,16.108078002929688,0.6082127094268799,0.8198550343513489,0.8389669209884529,0.8282116435698648
w/o SWA,component,42,0,glass_adhesion_kpa,0.7343771457672119,19.90041199837526,14.962554931640625,0.5153861045837402,0.8624064922332764,0.832948956947186,0.8466552062228347
w/o SWA,component,42,1,glass_adhesion_kpa,0.6785147190093994,19.662969899125265,13.190646171569824,0.566996693611145,0.8294407725334167,0.837628687669235,0.8298796979739106
w/o SWA,component,42,2,glass_adhesion_kpa,0.6987225413322449,19.098670537725756,14.49683952331543,0.5488874912261963,0.846057653427124,0.8439128079837482,0.8600852146415399
w/o SWA,component,2024,0,glass_adhesion_kpa,0.769514799118042,17.853529192814285,13.496323585510254,0.4800886809825897,0.8801077008247375,0.8707974437343707,0.8763860652940417
w/o SWA,component,2024,1,glass_adhesion_kpa,0.7128201723098755,19.494810538690885,13.301648139953613,0.535891592502594,0.8731409907341003,0.8494421985009604,0.8377454998171081
w/o SWA,component,2024,2,glass_adhesion_kpa,0.6849379539489746,19.40690967955864,14.685949325561523,0.5613039135932922,0.8298509120941162,0.8329373845953122,0.8230601898661802
w/o uncertainty weighting,component,42,0,glass_adhesion_kpa,0.7343771457672119,19.90041199837526,14.962554931640625,0.5153861045837402,0.8624064922332764,0.832948956947186,0.8466552062228347
w/o uncertainty weighting,component,42,1,glass_adhesion_kpa,0.6785147190093994,19.662969899125265,13.190646171569824,0.566996693611145,0.8294407725334167,0.837628687669235,0.8298796979739106
w/o uncertainty weighting,component,42,2,glass_adhesion_kpa,0.6987225413322449,19.098670537725756,14.49683952331543,0.5488874912261963,0.846057653427124,0.8439128079837482,0.8600852146415399
w/o uncertainty weighting,component,2024,0,glass_adhesion_kpa,0.769514799118042,17.853529192814285,13.496323585510254,0.4800886809825897,0.8801077008247375,0.8707974437343707,0.8763860652940417
w/o uncertainty weighting,component,2024,1,glass_adhesion_kpa,0.7128201723098755,19.494810538690885,13.301648139953613,0.535891592502594,0.8731409907341003,0.8494421985009604,0.8377454998171081
w/o uncertainty weighting,component,2024,2,glass_adhesion_kpa,0.6849379539489746,19.40690967955864,14.685949325561523,0.5613039135932922,0.8298509120941162,0.8329373845953122,0.8230601898661802
w/o domain constraint,component,42,0,glass_adhesion_kpa,0.7343771457672119,19.90041199837526,14.962554931640625,0.5153861045837402,0.8624064922332764,0.832948956947186,0.8466552062228347
w/o domain constraint,component,42,1,glass_adhesion_kpa,0.6785147190093994,19.662969899125265,13.190646171569824,0.566996693611145,0.8294407725334167,0.837628687669235,0.8298796979739106
w/o domain constraint,component,42,2,glass_adhesion_kpa,0.6987225413322449,19.098670537725756,14.49683952331543,0.5488874912261963,0.846057653427124,0.8439128079837482,0.8600852146415399
w/o domain constraint,component,2024,0,glass_adhesion_kpa,0.769514799118042,17.853529192814285,13.496323585510254,0.4800886809825897,0.8801077008247375,0.8707974437343707,0.8763860652940417
w/o domain constraint,component,2024,1,glass_adhesion_kpa,0.7128201723098755,19.494810538690885,13.301648139953613,0.535891592502594,0.8731409907341003,0.8494421985009604,0.8377454998171081
w/o domain constraint,component,2024,2,glass_adhesion_kpa,0.6849379539489746,19.40690967955864,14.685949325561523,0.5613039135932922,0.8298509120941162,0.8329373845953122,0.8230601898661802
w/o modality gate,component,42,0,glass_adhesion_kpa,0.7343771457672119,19.90041199837526,14.962554931640625,0.5153861045837402,0.8624064922332764,0.832948956947186,0.8466552062228347
w/o modality gate,component,42,1,glass_adhesion_kpa,0.6785147190093994,19.662969899125265,13.190646171569824,0.566996693611145,0.8294407725334167,0.837628687669235,0.8298796979739106
w/o modality gate,component,42,2,glass_adhesion_kpa,0.6987225413322449,19.098670537725756,14.49683952331543,0.5488874912261963,0.846057653427124,0.8439128079837482,0.8600852146415399
