tag,model,seed,fold,target,n_test,R2,RMSE,MAE,NRMSE,PearsonR,SpearmanRho,CCC
external_single,KNN,2024,0,glass_adhesion_kpa,25,0.2622059979817003,53.69754156469456,44.45399736931767,0.8589493632316589,0.8408919160116196,0.7776923076923077,0.7683577807319015
external_single,SVR-RBF,2024,0,glass_adhesion_kpa,25,0.5626354078256399,41.34363455139934,35.87843271123359,0.6613355278968811,0.8584936708295259,0.8369230769230769,0.8612001252789735
external_single,RandomForest,2024,0,glass_adhesion_kpa,25,0.5673029247058816,41.12243497709225,33.67432112281663,0.6577971577644348,0.8884547334280009,0.8707692307692307,0.8572936033239087
external_single,HistGB,2024,0,glass_adhesion_kpa,25,0.466196404076353,45.67489842803552,37.9940211786218,0.7306187152862549,0.8498602518569328,0.8426318438272182,0.814015317487543
external_single,MLP,2024,0,glass_adhesion_kpa,25,0.49833208322525024,44.278716516269135,33.085777282714844,0.7082852721214294,0.7500182390213013,0.7361538461538463,0.7442423470206772
external_single,Mean,2024,1,glass_adhesion_kpa,25,-1.0620200634002686,89.77042660134516,71.20113372802734,1.4359735250473022,0.0,0.0,0.0
external_single,Ridge,2024,1,glass_adhesion_kpa,25,0.6376569271087646,37.63109247807921,26.130521774291992,0.6019493937492371,0.8368515372276306,0.8776923076923077,0.8267607597123242
external_single,ElasticNet,2024,1,glass_adhesion_kpa,25,0.6377463340759277,37.6264469717611,26.128175735473633,0.6018750667572021,0.8368959426879883,0.8776923076923077,0.8268087646634762
external_single,KNN,2024,1,glass_adhesion_kpa,25,0.4588434361978727,45.98840082763902,38.78334816099835,0.7356334328651428,0.8962298654719213,0.8307692307692308,0.829629149062221
external_single,SVR-RBF,2024,1,glass_adhesion_kpa,25,0.6308573643838717,37.982535030929355,32.1728558852828,0.6075711250305176,0.8928834150408016,0.8661538461538462,0.8906521185008518
external_single,RandomForest,2024,1,glass_adhesion_kpa,25,0.4674983020426705,45.619165983598165,38.2715190906922,0.7297272086143494,0.8708045361274859,0.8384615384615385,0.8251834407500441
external_single,HistGB,2024,1,glass_adhesion_kpa,25,0.357890498408424,50.09465510882042,43.384313523096445,0.8013173341751099,0.8425345926697253,0.8092307692307691,0.7922691941325546
